book,units_scored,units_segmented,total_words,mean_chapter_words,mtld_mean,mtld_unreliable_runs,cliche_per_1k,slop_per_1k,em_dash_per_1k,dialogue_ratio_mean,distinct_3_ratio,self_bleu_mean,intra_unigram,intra_bigram,intra_trigram,burstiness_mean,duplication_suspected,max_pairwise_sim,max_verbatim_chars,n_flagged_pairs,opening_mean_pairwise,opening_high_pair_rate,cast_size,recurring_cast_size,person_mentions_per_1k
austen-emma,55,55,157321,2914.93,91.16,0,0.03,0.01,18.32,0.466,0.8087,0.3081,0.436,0.187,0.029,-0.082,False,0.031,34,0,0.074,0.0,239,72,25.76
austen-persuasion,24,24,83233,3470.83,95.93,0,0.05,0.01,1.52,0.307,0.8691,0.2283,0.444,0.186,0.027,-0.107,False,0.038,30,0,0.084,0.0,113,52,27.6
austen-pride,61,62,126462,1997.74,102.23,0,0.02,0.02,3.71,0.454,0.8389,0.2835,0.352,0.14,0.017,-0.165,False,0.041,32,0,0.092,0.0,108,66,25.37
bronte-janeeyre,38,40,185262,4904.16,98.79,0,0.05,0.11,10.36,0.416,0.8715,0.2254,0.402,0.17,0.02,-0.121,False,0.026,31,0,0.078,0.0,316,95,12.23
buchan-greenmantle,22,23,98664,4476.82,95.89,0,0.0,0.03,2.82,0.328,0.865,0.2432,0.436,0.205,0.027,-0.306,False,0.026,33,0,0.114,0.0,319,72,11.76
buchan-thirtyninesteps,10,10,40760,4089.2,90.98,0,0.02,0.02,2.8,0.279,0.8947,0.1924,0.421,0.209,0.03,-0.296,False,0.019,29,0,0.169,0.022,131,33,6.75
childers-riddlesands,28,29,108415,3876.68,105.82,0,0.05,0.12,7.51,0.325,0.8884,0.2115,0.368,0.167,0.019,-0.162,False,0.023,36,0,0.074,0.0,208,57,6.35
collins-moonstone,60,60,194601,3271.48,81.99,0,0.03,0.03,9.39,0.307,0.7737,0.3391,0.43,0.208,0.041,-0.242,False,0.049,60,0,0.096,0.002,173,72,18.13
collins-womaninwhite,61,61,244423,4043.39,83.02,0,0.05,0.03,9.67,0.264,0.7763,0.3383,0.443,0.214,0.038,-0.197,False,0.078,79,0,0.085,0.0,219,76,14.76
conrad-heartofdarkness,3,3,37904,12834.0,90.35,0,0.02,0.05,16.12,0.948,0.92,0.1282,0.564,0.274,0.047,-0.1,False,0.015,34,0,0.1,0.0,48,6,5.01
conrad-lordjim,45,46,129920,2873.64,97.37,0,0.07,0.06,10.84,0.191,0.8617,0.2508,0.347,0.158,0.02,-0.095,False,0.026,34,0,0.072,0.0,178,44,8.39
conrad-secretagent,13,13,90202,6961.15,100.55,0,0.1,0.03,5.49,0.275,0.8738,0.2054,0.475,0.226,0.042,-0.15,False,0.017,31,0,0.133,0.0,101,27,11.08
dickens-bleakhouse,67,69,353328,5287.45,81.42,0,0.05,0.04,6.06,0.383,0.7814,0.3227,0.494,0.236,0.048,-0.1,False,0.027,45,0,0.081,0.0,471,190,22.91
dickens-taleoftwocities,45,45,135539,3027.38,75.72,0,0.04,0.05,5.17,0.35,0.8588,0.2293,0.415,0.188,0.037,-0.119,False,0.036,44,0,0.104,0.0,196,63,13.59
dumas-montecristo,117,119,459951,3963.21,91.48,0,0.08,0.03,6.15,0.546,0.7674,0.359,0.454,0.2,0.036,-0.149,False,0.04,60,0,0.09,0.0,696,226,17.16
dunsany-elfland,34,35,69632,2039.59,70.36,0,0.05,0.41,0.1,0.05,0.853,0.2569,0.447,0.189,0.038,-0.222,False,0.034,40,0,0.121,0.0,44,19,6.17
eddison-ouroboros,33,34,169991,5085.39,102.66,0,0.05,0.08,0.32,0.476,0.8689,0.2347,0.477,0.177,0.027,-0.162,False,0.03,51,0,0.175,0.002,476,155,16.57
eliot-middlemarch,88,89,316167,3614.93,105.86,0,0.1,0.05,7.64,0.357,0.8062,0.3124,0.406,0.176,0.025,-0.176,False,0.031,29,0,0.036,0.004,587,176,22.04
haggard-ksm,21,22,82157,3911.48,103.38,0,0.02,0.07,3.93,0.29,0.8805,0.2062,0.445,0.18,0.027,-0.189,False,0.027,33,0,0.09,0.0,174,63,11.11
haggard-she,29,29,112073,3883.17,93.28,0,0.03,0.08,6.26,0.283,0.868,0.2432,0.436,0.181,0.025,-0.18,False,0.026,31,0,0.09,0.0,302,34,7.26
sabatini-captainblood,31,31,112892,3657.32,103.75,0,0.15,0.08,4.24,0.316,0.8818,0.2212,0.4,0.169,0.024,-0.15,False,0.025,36,0,0.11,0.0,237,96,17.03
sabatini-scaramouche,36,36,124291,3471.25,91.17,0,0.14,0.06,5.74,0.422,0.8587,0.252,0.391,0.183,0.033,-0.142,False,0.03,39,0,0.089,0.0,192,84,14.82
stoker-dracula,28,29,161025,5753.25,86.01,0,0.06,0.06,8.83,0.36,0.8252,0.2715,0.517,0.239,0.037,-0.216,False,0.028,45,0,0.108,0.003,270,92,11.99
tolstoy-warandpeace,365,366,562486,1572.17,81.93,0,0.12,0.06,3.78,0.209,0.7444,0.3788,0.375,0.16,0.033,-0.156,False,0.049,56,0,0.089,0.0,956,352,18.02
wells-timemachine,16,16,32361,2033.06,84.41,0,0.0,0.06,5.4,0.124,0.912,0.1666,0.354,0.161,0.024,-0.259,False,0.031,39,0,0.123,0.0,26,3,1.02
wells-warofworlds,27,27,59841,2225.56,86.28,0,0.06,0.02,4.57,0.06,0.8944,0.2048,0.344,0.157,0.024,-0.229,False,0.035,34,0,0.146,0.017,122,33,4.03
